オプション,データ種別,レコード種別,説明
1,TOKU,TK,次開催の特別レース情報、及び特別登録馬情報
1,RACE,RA,レース番組の詳細情報(中央のみ)
1,RACE,SE,出走場の競走馬毎のレース情報(中央のみ)
1,RACE,HR,払戻金情報
1,RACE,H1,確定票数(3連単以外)
1,RACE,H6,確定票数(3連単)
1,RACE,O1,確定オッズ(単複枠)
1,RACE,O2,確定オッズ(馬連)
1,RACE,O3,確定オッズ(ワイド)
1,RACE,O4,確定オッズ(馬単)
1,RACE,O5,確定オッズ(3連複)
1,RACE,O6,確定オッズ(3連単)
1,RACE,WF,重勝式(WIN5)に関する情報
1,RACE,JG,競走馬除外情報に関する情報
1,DIFF,UM,前回提供分から変更・追加のあった競走馬マスタ
1,DIFF,KS,前回提供分から変更・追加のあった騎手マスタ
1,DIFF,CH,前回提供分から変更・追加のあった調教師マスタ
1,DIFF,BR,前回提供分から変更・追加のあった生産者マスタ
1,DIFF,BN,前回提供分から変更・追加のあった馬主マスタ
1,DIFF,RC,前回提供分から変更・追加のあったレコード情報
1,DIFF,RA,地方競馬・海外国際レースのレース番組情報
1,DIFF,SE,地方競馬・海外国際レースの馬毎レース情報
1,BLOD,HN,前回提供分から変更・追加のあった繁殖馬マスタ
1,BLOD,SK,前回提供分から変更・追加のあった産駒マスタ
1,BLOD,BT,前回提供分から変更・追加のあった系統情報
1,SNAP,CK,競走馬、騎乗騎手、調教師、馬主、生産者の着度数等
1,SLOP,HC,(東)美浦及び(西)栗東トレーニングセンターでの坂路調教情報
1,HOSE,HS,前回提供分から変更・追加のあった競争馬市場取引価格情報
1,HOYU,HY,前回提供分から変更・追加のあった馬名の意味由来情報
1,COMM,CS,前回提供分から変更・追加のあったコース情報
2,TOKU,TK,次開催の特別レース情報、及び特別登録馬情報
2,RACE,RA,今週のレースのレース番組の詳細情報(中央のみ)
2,RACE,SE,今週のレースの出走場の競走馬毎のレース情報(中央のみ)
2,RACE,HR,今週のレースの払戻金情報
2,RACE,H1,今週のレースの確定票数(3連単以外)
2,RACE,H6,今週のレースの確定票数(3連単)
2,RACE,O1,今週のレースの確定オッズ(単複枠)
2,RACE,O2,今週のレースの確定オッズ(馬連)
2,RACE,O3,今週のレースの確定オッズ(ワイド)
2,RACE,O4,今週のレースの確定オッズ(馬単)
2,RACE,O5,今週のレースの確定オッズ(3連複)
2,RACE,O6,今週のレースの確定オッズ(3連単)
2,RACE,WF,今週のレースの重勝式(WIN5)に関する情報
2,RACE,JG,今週のレースの競走馬除外情報に関する情報
2,TCOV,UM,今週のレースの全出走馬(登録馬)の競走馬マスタ
2,TCOV,CH,今週のレースの全出走馬(登録馬)の調教師マスタ
2,TCOV,BR,今週のレースの全出走馬(登録馬)の生産者マスタ
2,TCOV,BN,今週のレースの全出走馬(登録馬)の馬主マスタ
2,TCOV,RC,今週のレースに関する最新のレコード情報
2,TCOV,RA,今週のレースの全出走馬(登録馬)の全過去分のレース詳細
2,TCOV,SE,今週のレースの全出走馬(登録馬)の馬毎レース情報
2,RCOV,UM,今週のレースの全出走馬(出走予定馬)の競走馬マスタ
2,RCOV,KS,今週のレースの現役全員騎手マスタ
2,RCOV,CH,今週のレースの現役全員調教師マスタ
2,RCOV,BR,今週のレースの全出走馬(出走予定馬)の生産者マスタ
2,RCOV,BN,今週のレースの全出走馬(出走予定馬)の馬主マスタ
2,RCOV,RC,今週のレースに関する最新のレコード情報
2,RCOV,RA,今週のレースの全出走馬(出走予定馬)の全過去分のレース詳細
2,RCOV,SE,今週のレースの全出走馬(出走予定馬)の全過去分の馬毎レース情報
2,SNAP,CK,今週のレースの競走馬、騎乗騎手、調教師、馬主、生産者の着度数等
4,RACE,RA,1986年以降のレース番組の詳細情報(中央・地方・海外)
4,RACE,SE,1986年以降の競争馬毎のレース情報(中央・地方・海外)
4,RACE,HR,1986年以降の払戻金情報
4,RACE,H1,1986年以降の確定票数(3連単以外)
4,RACE,H6,2004年8月以降の確定票数(3連単)
4,RACE,O1,1993年6月以降の確定オッズ(単複枠)
4,RACE,O2,1993年6月以降の確定オッズ(馬連)
4,RACE,O3,1999年10月以降の確定オッズ(ワイド)
4,RACE,O4,2002年6月以降の確定オッズ(馬単)
4,RACE,O5,2002年6月以降の確定オッズ(3連複)
4,RACE,O6,2004年8月以降の確定オッズ(3連単)
4,RACE,WF,2011年4月以降の重勝式(WIN5)に関する情報
4,RACE,JG,2011年6月以降の競走馬除外情報に関する情報
4,DIFF,UM,1986年以降の競走馬の基本情報
4,DIFF,KS,騎手マスタ全件
4,DIFF,CH,調教師マスタ全件
4,DIFF,BR,1986年以降の生産者情報
4,DIFF,BN,1986年以降の馬主情報
4,DIFF,RC,1986年以降のコースレコード履歴、2003年以降のG1レコード履歴
4,BLOD,HN,1986年以降の繁殖馬情報
4,BLOD,SK,1986年以降の産駒情報
4,BLOD,BT,血統情報全件
4,SNAP,CK,2004年以降の出走別着度数情報
4,SLOP,HC,2003年以降の坂路調教情報
4,HOSE,HS,1997年以降の競走馬市場取引価格情報
4,HOYU,HY,2000年産駒以降の馬名の意味由来情報
4,COMM,CS,コース情報全件
0,0B12,RA,レース番組の詳細情報(速報成績)
0,0B12,SE,出走馬の競走馬毎のレース情報(速報成績)
0,0B12,HR,払戻金情報
0,0B31,O1,速報オッズ(単複枠) (中間・前日売最終・最終・確定)
0,0B32,O2,速報オッズ(馬連) (中間・前日売最終・最終・確定)
0,0B33,O3,速報オッズ(ワイド) (中間・前日売最終・最終・確定)
0,0B34,O4,速報オッズ(馬単) (中間・前日売最終・最終・確定)
0,0B35,O5,速報オッズ(3連複) (中間・前日売最終・最終・確定)
0,0B36,O6,速報オッズ(3連単) (中間・前日売最終・最終・確定)
0,0B20,H1,速報票数(3連単以外) (前日売最終・確定後)
0,0B20,H6,速報票数(3連単) (前日売最終・確定後)
0,0B11,WH,馬体重の情報
0,0B14,WE,天候馬場状態の情報
0,0B14,AV,出走取消・競争除外の情報
0,0B14,JC,騎手変更の情報
0,0B14,TC,発走時刻の変更
0,0B14,CC,コースの変更
0,0B41,O1,単複枠の中間オッズを時系列に収録したもの
0,0B42,O2,馬連の中間オッズを時系列に収録したもの
0,0B51,WF,重勝式(WIN5)の情報